iter	Passed	Remaining
0	47	47503
1	48	23965
2	48	16102
3	48	12168
4	49	9807
5	49	8217
6	49	7089
7	50	6250
8	50	5588
9	51	5067
10	51	4638
11	52	4282
12	52	3981
13	52	3721
14	53	3498
15	53	3299
16	54	3124
17	54	2970
18	54	2832
19	55	2708
20	55	2609
21	56	2506
22	56	2414
23	57	2328
24	57	2258
25	59	2220
26	60	2173
27	60	2107
28	61	2045
29	61	1986
30	61	1932
31	62	1882
32	62	1835
33	63	1791
34	63	1750
35	63	1708
36	64	1673
37	64	1635
38	65	1603
39	65	1571
40	65	1540
41	66	1510
42	66	1483
43	67	1457
44	67	1432
45	67	1408
46	68	1383
47	68	1362
48	69	1339
49	69	1320
50	69	1300
51	70	1281
52	70	1263
53	71	1246
54	71	1229
55	71	1213
56	72	1197
57	72	1180
58	73	1165
59	73	1150
60	73	1137
61	74	1123
62	74	1111
63	75	1098
64	75	1087
65	75	1074
66	76	1063
67	76	1051
68	77	1040
69	77	1029
70	77	1019
71	78	1009
72	78	998
73	79	989
74	79	979
75	79	971
76	80	961
77	80	953
78	81	944
79	81	936
80	81	928
81	82	920
82	82	910
83	82	903
84	83	896
85	83	889
86	84	882
87	84	875
88	84	869
89	85	862
90	85	855
91	86	849
92	86	843
93	86	836
94	87	829
95	87	824
96	87	818
97	88	813
98	88	806
99	89	802
100	89	796
101	89	791
102	90	785
103	90	781
104	91	776
105	91	771
106	91	765
107	92	761
108	92	756
109	92	752
110	93	747
111	93	743
112	94	739
113	94	734
114	94	730
115	95	728
116	95	724
117	96	720
118	96	716
119	97	711
120	97	708
121	97	703
122	98	700
123	98	696
124	98	692
125	99	689
126	99	685
127	99	681
128	100	678
129	100	675
130	101	672
131	101	668
132	102	665
133	102	661
134	102	659
135	103	655
136	103	652
137	103	649
138	104	646
139	104	643
140	105	645
141	106	641
142	106	638
143	107	636
144	107	633
145	107	629
146	108	627
147	108	624
148	108	621
149	109	619
150	109	616
151	110	614
152	110	611
153	110	608
154	111	605
155	111	603
156	111	600
157	112	598
158	112	595
159	113	593
160	113	590
161	113	587
162	113	585
163	114	583
164	114	580
165	115	578
166	115	576
167	115	573
168	116	571
169	116	569
170	118	574
171	118	572
172	120	578
173	121	576
174	121	574
175	122	575
176	123	573
177	123	570
178	123	568
179	124	567
180	124	564
181	126	567
182	126	564
183	126	562
184	127	559
185	127	559
186	128	558
187	128	556
188	129	557
189	130	555
190	130	553
191	130	551
192	131	548
193	132	550
194	132	548
195	133	547
196	134	548
197	134	546
198	135	545
199	135	543
200	136	541
201	136	539
202	136	537
203	137	535
204	137	533
205	137	531
206	138	529
207	138	527
208	138	525
209	139	523
210	139	521
211	141	527
212	142	525
213	142	523
214	142	521
215	143	520
216	143	518
217	143	516
218	144	514
219	144	512
220	144	510
221	145	508
222	145	507
223	147	509
224	147	507
225	147	506
226	148	504
227	148	502
228	148	500
229	149	498
230	149	497
231	149	495
232	150	493
233	150	492
234	150	490
235	150	488
236	151	487
237	151	485
238	151	483
239	154	490
240	155	489
241	155	487
242	156	486
243	156	484
244	156	483
245	157	481
246	158	482
247	158	480
248	158	478
249	159	477
250	159	475
251	159	474
252	160	473
253	160	472
254	161	470
255	161	469
256	161	467
257	162	468
258	163	466
259	163	465
260	163	463
261	164	462
262	164	460
263	164	459
264	165	458
265	165	456
266	165	455
267	166	453
268	166	452
269	166	450
270	167	449
271	167	448
272	167	446
273	168	445
274	168	444
275	168	442
276	169	441
277	169	440
278	169	438
279	170	438
280	170	437
281	171	435
282	171	434
283	171	433
284	172	431
285	172	430
286	172	429
287	173	427
288	173	426
289	173	425
290	174	424
291	175	426
292	176	425
293	176	424
294	178	426
295	179	425
296	179	424
297	179	423
298	180	422
299	180	421
300	180	419
301	181	418
302	181	417
303	183	420
304	184	421
305	185	420
306	185	419
307	186	418
308	186	416
309	186	415
310	187	414
311	187	413
312	187	412
313	188	411
314	188	410
315	188	409
316	189	407
317	189	406
318	190	405
319	190	404
320	190	403
321	191	402
322	191	401
323	191	400
324	192	399
325	192	398
326	193	397
327	193	396
328	193	395
329	194	394
330	194	393
331	194	392
332	195	391
333	195	390
334	196	389
335	196	388
336	196	387
337	197	386
338	197	385
339	197	384
340	198	382
341	198	382
342	198	381
343	199	380
344	199	379
345	200	378
346	200	377
347	200	376
348	201	375
349	201	374
350	201	373
351	202	372
352	202	371
353	202	370
354	203	369
355	203	368
356	204	367
357	204	366
358	204	365
359	205	364
360	205	363
361	205	362
362	206	362
363	206	361
364	207	360
365	207	359
366	207	358
367	208	357
368	208	356
369	208	355
370	209	354
371	209	353
372	209	352
373	210	352
374	210	351
375	211	350
376	211	349
377	211	348
378	212	347
379	212	346
380	212	345
381	213	344
382	213	344
383	213	343
384	214	342
385	214	341
386	215	340
387	216	340
388	216	340
389	217	339
390	217	338
391	220	341
392	220	341
393	221	340
394	221	339
395	224	341
396	224	341
397	224	340
398	225	339
399	225	338
400	226	337
401	226	336
402	226	336
403	227	335
404	227	334
405	227	333
406	228	332
407	228	331
408	228	330
409	229	329
410	229	329
411	230	328
412	230	327
413	230	326
414	231	325
415	231	325
416	231	324
417	232	323
418	233	323
419	233	322
420	233	321
421	234	321
422	234	320
423	235	319
424	235	318
425	235	317
426	236	316
427	236	316
428	236	315
429	237	314
430	237	313
431	237	312
432	238	312
433	238	311
434	238	310
435	239	309
436	239	308
437	240	308
438	240	307
439	240	306
440	241	305
441	241	304
442	241	304
443	242	303
444	242	302
445	243	301
446	243	301
447	243	300
448	244	299
449	244	299
450	245	298
451	245	297
452	246	297
453	246	296
454	246	295
455	247	294
456	248	295
457	249	294
458	249	294
459	250	293
460	251	294
461	252	293
462	252	293
463	255	294
464	255	294
465	256	293
466	257	294
467	258	293
468	258	293
469	261	294
470	261	293
471	261	293
472	262	292
473	264	293
474	264	292
475	265	292
476	265	291
477	266	290
478	266	289
479	266	288
480	267	288
481	267	287
482	267	286
483	268	285
484	268	284
485	268	284
486	269	283
487	269	282
488	269	281
489	270	281
490	270	280
491	270	279
492	271	279
493	271	278
494	271	277
495	272	276
496	272	275
497	272	275
498	273	274
499	273	273
500	273	272
501	274	272
502	274	271
503	275	271
504	277	271
505	277	271
506	278	270
507	278	269
508	279	269
509	279	268
510	279	267
511	280	266
512	280	266
513	280	265
514	281	264
515	281	264
516	281	263
517	282	262
518	282	261
519	283	261
520	283	260
521	283	259
522	284	259
523	284	258
524	284	257
525	285	257
526	285	256
527	286	255
528	286	255
529	286	254
530	287	253
531	287	252
532	287	252
533	288	251
534	288	250
535	289	250
536	289	249
537	289	248
538	290	248
539	290	247
540	291	246
541	291	246
542	291	245
543	292	244
544	292	244
545	293	243
546	293	243
547	293	242
548	294	241
549	294	241
550	295	240
551	295	239
552	295	239
553	296	238
554	296	237
555	296	237
556	297	236
557	297	235
558	298	235
559	298	234
560	298	233
561	299	233
562	299	232
563	300	231
564	300	231
565	300	230
566	301	229
567	301	229
568	301	228
569	302	228
570	302	227
571	303	226
572	303	226
573	303	225
574	304	224
575	304	224
576	306	225
577	307	224
578	307	223
579	308	223
580	308	222
581	309	222
582	309	221
583	309	220
584	310	220
585	310	219
586	311	219
587	311	218
588	312	217
589	312	217
590	313	216
591	313	216
592	313	215
593	314	215
594	315	214
595	315	213
596	315	213
597	316	212
598	316	211
599	316	211
600	317	210
601	317	210
602	318	209
603	318	208
604	318	208
605	319	207
606	319	206
607	320	206
608	320	205
609	320	205
610	321	204
611	321	203
612	321	203
613	322	202
614	322	201
615	323	201
